Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_8830,4,0,0,0,0,0,6,156,162,0.633,8830,8830,52.991,13.166,0,0.117,0.248,0.043,0.061,0.114,8.637,9.836,7.674,9.304,0.952
Track_8831,7,0,0,0,0,0,12,156,168,0.621,8831,8831,28.920,48.636,0,0.079,0.208,0.021,0.045,0.078,8.411,10.229,6.292,8.256,1.288
Track_8832,7,0,0,0,0,0,12,160,172,0.701,8832,8832,33.083,20.625,0,0.059,0.173,0.018,0.034,0.059,10.301,11.961,8.567,10.341,1.177
Track_8837,5,0,0,0,0,0,8,160,168,0.415,8837,8837,0.169,3.590,0,0.052,0.105,0.000,0.053,0.043,5.476,6.861,3.610,6.009,1.163
Track_8838,6,0,0,0,0,0,10,160,170,0.788,8838,8838,4.732,38.649,0,0.084,0.159,0.032,0.075,0.048,11.341,13.786,9.117,10.949,1.611
Track_8847,7,0,0,0,0,0,12,154,166,0.582,8847,8847,26.307,54.784,0,0.056,0.195,0.005,0.052,0.071,10.102,13.194,6.294,11.200,2.492
Track_8853,7,0,0,0,0,0,12,156,168,1.080,8853,8853,45.964,55.143,0,0.102,0.162,0.054,0.103,0.049,5.568,6.774,4.891,5.224,0.645
Track_8857,4,0,0,0,0,0,6,158,164,0.453,8857,8857,50.413,53.212,0,0.079,0.097,0.063,0.076,0.017,9.955,11.437,7.105,11.396,1.761
Track_8859,9,0,0,0,0,0,16,160,176,0.987,8859,8859,41.954,52.997,0,0.075,0.133,0.030,0.074,0.038,7.518,9.467,5.605,7.414,1.115
Track_8860,6,0,0,0,0,0,10,154,164,0.862,8860,8860,20.081,35.840,0,0.088,0.166,0.045,0.065,0.050,9.514,11.326,7.436,9.888,1.243
Track_8861,7,0,0,0,0,0,12,158,170,0.956,8861,8861,36.076,18.803,0,0.100,0.201,0.027,0.111,0.071,10.460,13.171,7.217,10.612,1.890
Track_8863,5,0,0,0,0,0,8,160,168,0.716,8863,8863,41.867,18.703,0,0.096,0.141,0.069,0.097,0.032,7.581,8.491,6.203,7.743,0.761
Track_8868,7,0,0,0,0,0,12,154,166,0.436,8868,8868,21.805,18.596,0,0.050,0.082,0.010,0.076,0.033,11.592,14.950,6.740,11.371,2.487
Track_8872,6,0,0,0,0,0,10,154,164,0.607,8872,8872,40.487,36.122,0,0.067,0.132,0.046,0.050,0.037,9.729,12.306,5.347,10.457,2.441
